date,meal_period,restaurant_covers,event_indicator,occupancy_rate,number_of_items,dish_category,dishwasher_cycles,cycle_duration_minutes,items_per_rack,washing_time_minutes,waiting_time_minutes,rewash_required,items_rejected,damaged_items,dishwasher_utilization,staff_available,water_consumption_liters,detergent_consumption_ml,season,day_of_week,peak_period
2025-01-02,Lunch,48,False,0.797,105,Plates,5,2.23,24,11.1,2.2,True,2,0,0.401,3,27.2,44.0,Winter,Thursday,False
2025-01-02,Lunch,48,False,0.797,64,Glassware,4,2.26,20,9.1,1.5,True,3,0,0.298,3,20.0,39.6,Winter,Thursday,False
2025-01-02,Lunch,48,False,0.797,135,Cutlery,3,2.01,45,6.0,3.1,True,3,1,0.25,3,22.3,30.3,Winter,Thursday,False
2025-01-02,Lunch,48,False,0.797,12,Cookware,2,2.57,10,5.1,2.1,False,0,0,0.25,3,7.9,22.2,Winter,Thursday,False
2025-01-02,Dinner,98,False,0.797,209,Plates,9,2.06,24,18.5,5.3,True,9,1,0.929,3,50.5,86.7,Winter,Thursday,True
2025-01-02,Dinner,98,False,0.797,119,Glassware,6,2.08,20,12.5,3.0,True,3,1,0.642,3,33.3,65.3,Winter,Thursday,True
2025-01-02,Dinner,98,False,0.797,277,Cutlery,7,2.05,45,14.3,9.1,True,9,0,0.654,3,48.2,65.1,Winter,Thursday,True
2025-01-02,Dinner,98,False,0.797,16,Cookware,2,2.37,10,4.7,2.1,True,1,0,0.25,3,8.5,17.3,Winter,Thursday,True
2025-01-03,Breakfast,83,False,0.867,186,Plates,8,2.29,24,18.4,4.4,False,0,0,0.732,3,44.9,82.3,Winter,Friday,False
2025-01-03,Breakfast,83,False,0.867,119,Glassware,6,1.89,20,11.4,7.1,False,0,0,0.464,3,35.6,70.3,Winter,Friday,False
2025-01-03,Breakfast,83,False,0.867,234,Cutlery,6,2.05,45,12.3,0.0,True,7,0,0.44,3,41.8,60.1,Winter,Friday,False
2025-01-03,Breakfast,83,False,0.867,13,Cookware,2,2.4,10,4.8,7.1,False,0,0,0.25,3,8.6,19.8,Winter,Friday,False
2025-01-03,Lunch,59,False,0.867,137,Plates,6,2.05,24,12.3,1.2,True,3,0,0.482,3,33.5,61.4,Winter,Friday,False
2025-01-03,Lunch,59,False,0.867,86,Glassware,5,2.08,20,10.4,1.7,False,0,0,0.369,3,23.9,55.0,Winter,Friday,False
2025-01-03,Lunch,59,False,0.867,165,Cutlery,4,2.25,45,9.0,3.0,True,2,0,0.34,3,27.8,42.9,Winter,Friday,False
2025-01-03,Lunch,59,False,0.867,8,Cookware,1,2.47,10,2.5,0.8,False,0,0,0.25,3,4.7,10.6,Winter,Friday,False
2025-01-03,Dinner,107,False,0.867,245,Plates,11,2.35,24,25.8,21.3,True,5,1,1.243,3,65.1,101.7,Winter,Friday,True
2025-01-03,Dinner,107,False,0.867,158,Glassware,8,2.32,20,18.5,9.7,True,4,0,0.949,3,42.0,81.7,Winter,Friday,True
2025-01-03,Dinner,107,False,0.867,293,Cutlery,7,2.09,45,14.6,1.3,True,6,0,0.704,3,49.3,78.4,Winter,Friday,True
2025-01-03,Dinner,107,False,0.867,14,Cookware,2,2.45,10,4.9,0.0,True,1,0,0.25,3,8.9,20.3,Winter,Friday,True
2025-01-04,Breakfast,93,False,0.849,197,Plates,9,2.25,24,20.2,3.9,True,2,1,0.759,3,48.0,88.4,Winter,Saturday,False
2025-01-04,Breakfast,93,False,0.849,134,Glassware,7,2.21,20,15.4,2.4,False,0,0,0.609,3,39.5,75.1,Winter,Saturday,False
2025-01-04,Breakfast,93,False,0.849,263,Cutlery,6,2.27,45,13.6,0.8,True,5,0,0.547,3,45.5,60.2,Winter,Saturday,False
2025-01-04,Breakfast,93,False,0.849,28,Cookware,3,2.42,10,7.2,0.0,True,3,1,0.279,3,13.1,27.9,Winter,Saturday,False
2025-01-04,Lunch,74,False,0.849,148,Plates,7,1.88,24,13.2,0.0,True,1,0,0.478,3,39.3,69.3,Winter,Saturday,False
2025-01-04,Lunch,74,False,0.849,117,Glassware,6,1.99,20,12.0,1.7,False,0,1,0.481,3,33.5,67.5,Winter,Saturday,False
2025-01-04,Lunch,74,False,0.849,210,Cutlery,5,2.26,45,11.3,4.0,True,2,0,0.434,3,36.5,46.2,Winter,Saturday,False
2025-01-04,Lunch,74,False,0.849,17,Cookware,2,2.54,10,5.1,2.6,True,1,0,0.25,3,8.5,23.2,Winter,Saturday,False
2025-01-04,Dinner,119,False,0.849,267,Plates,12,2.05,24,24.7,19.0,True,2,1,1.185,3,68.3,129.2,Winter,Saturday,True
2025-01-04,Dinner,119,False,0.849,164,Glassware,9,1.84,20,16.6,7.8,True,4,0,0.782,3,49.3,99.5,Winter,Saturday,True
2025-01-04,Dinner,119,False,0.849,323,Cutlery,8,2.08,45,16.6,6.0,True,8,0,0.772,3,53.4,73.2,Winter,Saturday,True
2025-01-04,Dinner,119,False,0.849,20,Cookware,2,2.4,10,4.8,5.0,False,0,0,0.25,3,9.4,18.4,Winter,Saturday,True
2025-01-05,Breakfast,74,False,0.885,167,Plates,7,2.36,24,16.5,0.0,False,0,1,0.676,3,40.4,72.9,Winter,Sunday,False
2025-01-05,Breakfast,74,False,0.885,106,Glassware,6,1.99,20,11.9,1.6,True,2,0,0.434,3,30.3,62.3,Winter,Sunday,False
2025-01-05,Breakfast,74,False,0.885,210,Cutlery,5,2.32,45,11.6,3.0,True,2,0,0.445,3,35.5,54.2,Winter,Sunday,False
2025-01-05,Breakfast,74,False,0.885,19,Cookware,2,2.44,10,4.9,2.8,False,0,0,0.25,3,9.0,19.8,Winter,Sunday,False
2025-01-05,Lunch,59,False,0.885,134,Plates,6,1.95,24,11.7,2.9,True,1,0,0.449,3,32.8,55.0,Winter,Sunday,False
2025-01-05,Lunch,59,False,0.885,79,Glassware,4,2.21,20,8.8,0.2,False,0,0,0.36,3,21.5,36.5,Winter,Sunday,False
2025-01-05,Lunch,59,False,0.885,156,Cutlery,4,2.12,45,8.5,1.0,True,1,0,0.303,3,28.1,38.3,Winter,Sunday,False
2025-01-05,Lunch,59,False,0.885,5,Cookware,1,2.52,10,2.5,5.3,False,0,0,0.25,3,4.6,9.7,Winter,Sunday,False
2025-01-05,Dinner,125,False,0.885,287,Plates,12,1.89,24,22.7,13.4,True,6,0,1.173,3,70.0,122.2,Winter,Sunday,True
2025-01-05,Dinner,125,False,0.885,170,Glassware,9,2.05,20,18.5,12.2,True,1,0,0.906,3,46.0,97.1,Winter,Sunday,True
2025-01-05,Dinner,125,False,0.885,360,Cutlery,8,2.21,45,17.7,12.0,True,8,1,0.916,3,56.9,85.8,Winter,Sunday,True
2025-01-05,Dinner,125,False,0.885,15,Cookware,2,2.53,10,5.1,0.0,False,0,0,0.25,3,9.2,19.0,Winter,Sunday,True
2025-01-06,Breakfast,94,True,0.882,211,Plates,9,2.16,24,19.5,14.5,True,4,0,0.784,4,52.0,86.1,Winter,Monday,True
2025-01-06,Breakfast,94,True,0.882,132,Glassware,7,1.91,20,13.4,10.6,True,1,0,0.518,4,41.9,67.8,Winter,Monday,True
2025-01-06,Breakfast,94,True,0.882,274,Cutlery,7,2.28,45,15.9,9.5,True,2,0,0.571,4,46.8,78.3,Winter,Monday,True
2025-01-06,Breakfast,94,True,0.882,31,Cookware,4,2.49,10,10.0,14.5,True,2,0,0.318,4,16.9,43.1,Winter,Monday,True
2025-01-06,Lunch,56,True,0.882,123,Plates,6,2.3,24,13.8,7.1,True,2,0,0.485,4,30.5,53.7,Winter,Monday,True
2025-01-06,Lunch,56,True,0.882,87,Glassware,5,2.29,20,11.5,11.7,True,3,0,0.41,4,25.7,54.9,Winter,Monday,True
2025-01-06,Lunch,56,True,0.882,165,Cutlery,4,2.21,45,8.8,8.5,True,3,0,0.334,4,29.3,42.6,Winter,Monday,True
2025-01-06,Lunch,56,True,0.882,11,Cookware,2,2.15,10,4.3,12.4,False,0,0,0.25,4,8.5,19.1,Winter,Monday,True
2025-01-06,Dinner,161,True,0.882,353,Plates,15,2.43,24,36.4,36.0,True,10,0,1.25,5,82.9,164.2,Winter,Monday,True
2025-01-06,Dinner,161,True,0.882,203,Glassware,11,2.03,20,22.3,27.8,True,10,1,1.069,5,59.0,84.4,Winter,Monday,True
2025-01-06,Dinner,161,True,0.882,460,Cutlery,11,1.89,45,20.8,25.4,True,7,1,1.003,5,74.8,103.0,Winter,Monday,True
2025-01-06,Dinner,161,True,0.882,22,Cookware,3,2.53,10,7.6,12.3,False,0,0,0.289,5,12.9,31.8,Winter,Monday,True
2025-01-07,Breakfast,93,False,0.845,197,Plates,9,2.09,24,18.8,3.5,True,1,0,0.705,3,47.4,98.3,Winter,Tuesday,False
2025-01-07,Breakfast,93,False,0.845,121,Glassware,7,2.12,20,14.8,2.7,True,2,0,0.528,3,33.6,68.5,Winter,Tuesday,False
2025-01-07,Breakfast,93,False,0.845,263,Cutlery,6,2.0,45,12.0,0.3,True,9,1,0.482,3,45.8,63.9,Winter,Tuesday,False
2025-01-07,Breakfast,93,False,0.845,9,Cookware,1,2.55,10,2.6,3.9,True,1,0,0.25,3,4.7,10.3,Winter,Tuesday,False
2025-01-07,Lunch,40,False,0.845,81,Plates,4,1.9,24,7.6,0.0,True,3,0,0.265,2,21.4,34.9,Winter,Tuesday,False
2025-01-07,Lunch,40,False,0.845,56,Glassware,3,2.05,20,6.2,4.4,True,1,0,0.25,2,16.7,28.8,Winter,Tuesday,False
2025-01-07,Lunch,40,False,0.845,108,Cutlery,3,2.14,45,6.4,2.5,True,5,0,0.25,2,20.0,27.1,Winter,Tuesday,False
2025-01-07,Lunch,40,False,0.845,9,Cookware,1,2.33,10,2.3,0.0,False,0,0,0.25,2,4.5,6.5,Winter,Tuesday,False
2025-01-07,Dinner,123,False,0.845,275,Plates,12,2.0,24,24.0,20.5,True,12,0,1.187,3,64.0,109.7,Winter,Tuesday,True
2025-01-07,Dinner,123,False,0.845,186,Glassware,10,2.08,20,20.8,13.7,True,9,1,1.003,3,51.1,85.9,Winter,Tuesday,True
2025-01-07,Dinner,123,False,0.845,347,Cutlery,8,2.18,45,17.5,9.0,True,7,1,0.872,3,55.4,63.4,Winter,Tuesday,True
2025-01-07,Dinner,123,False,0.845,28,Cookware,3,2.82,10,8.5,0.5,True,1,0,0.41,3,14.1,30.9,Winter,Tuesday,True
2025-01-08,Breakfast,76,False,0.75,169,Plates,8,2.07,24,16.5,0.2,True,5,2,0.599,3,45.5,82.8,Winter,Wednesday,False
2025-01-08,Breakfast,76,False,0.75,109,Glassware,6,2.0,20,12.0,3.0,True,2,0,0.449,3,31.4,63.2,Winter,Wednesday,False
2025-01-08,Breakfast,76,False,0.75,216,Cutlery,5,2.17,45,10.9,0.0,True,4,0,0.43,3,35.4,40.2,Winter,Wednesday,False
2025-01-08,Breakfast,76,False,0.75,16,Cookware,2,2.28,10,4.6,2.7,True,1,0,0.25,3,9.1,18.3,Winter,Wednesday,False
2025-01-08,Lunch,50,False,0.75,115,Plates,5,2.11,24,10.6,0.0,True,2,0,0.417,3,27.0,48.4,Winter,Wednesday,False
2025-01-08,Lunch,50,False,0.75,71,Glassware,4,2.02,20,8.1,0.0,True,3,0,0.295,3,20.5,40.1,Winter,Wednesday,False
2025-01-08,Lunch,50,False,0.75,140,Cutlery,4,2.09,45,8.3,7.9,True,6,0,0.267,3,27.3,36.9,Winter,Wednesday,False
2025-01-08,Lunch,50,False,0.75,7,Cookware,1,2.33,10,2.3,0.7,True,1,0,0.25,3,4.3,10.0,Winter,Wednesday,False
2025-01-08,Dinner,90,False,0.75,196,Plates,9,2.37,24,21.3,16.1,True,5,1,1.003,3,49.9,85.9,Winter,Wednesday,True
2025-01-08,Dinner,90,False,0.75,120,Glassware,6,2.2,20,13.2,0.0,True,2,0,0.684,3,33.5,60.7,Winter,Wednesday,True
2025-01-08,Dinner,90,False,0.75,252,Cutlery,6,2.03,45,12.2,0.0,True,2,0,0.591,3,42.9,56.9,Winter,Wednesday,True
2025-01-08,Dinner,90,False,0.75,25,Cookware,3,2.58,10,7.8,5.7,True,2,0,0.335,3,13.7,28.3,Winter,Wednesday,True
2025-01-09,Breakfast,93,False,0.828,207,Plates,9,2.18,24,19.6,4.1,True,3,1,0.775,3,45.5,99.3,Winter,Thursday,False
2025-01-09,Breakfast,93,False,0.828,137,Glassware,7,2.32,20,16.2,6.1,False,0,0,0.654,3,37.9,82.8,Winter,Thursday,False
2025-01-09,Breakfast,93,False,0.828,256,Cutlery,6,1.99,45,11.9,2.8,True,4,0,0.466,3,40.1,47.8,Winter,Thursday,False
2025-01-09,Breakfast,93,False,0.828,25,Cookware,3,2.64,10,7.9,2.7,False,0,0,0.272,3,13.6,30.3,Winter,Thursday,False
2025-01-09,Lunch,38,False,0.828,83,Plates,4,1.89,24,7.6,3.2,False,0,1,0.269,2,21.4,40.6,Winter,Thursday,False
2025-01-09,Lunch,38,False,0.828,55,Glassware,3,2.3,20,6.9,0.5,False,0,0,0.26,2,16.5,37.1,Winter,Thursday,False
2025-01-09,Lunch,38,False,0.828,101,Cutlery,3,2.06,45,6.2,2.3,False,0,0,0.25,2,19.5,31.1,Winter,Thursday,False
2025-01-09,Lunch,38,False,0.828,9,Cookware,1,2.11,10,2.1,1.0,False,0,0,0.25,2,4.6,11.4,Winter,Thursday,False
2025-01-09,Dinner,96,False,0.828,223,Plates,10,2.04,24,20.4,13.5,True,4,2,0.981,3,55.5,95.0,Winter,Thursday,True
2025-01-09,Dinner,96,False,0.828,140,Glassware,7,1.96,20,13.7,4.7,True,3,1,0.712,3,38.5,89.2,Winter,Thursday,True
2025-01-09,Dinner,96,False,0.828,262,Cutlery,6,2.16,45,13.0,1.5,True,5,0,0.652,3,45.2,64.3,Winter,Thursday,True
2025-01-09,Dinner,96,False,0.828,19,Cookware,2,2.35,10,4.7,1.9,False,0,0,0.25,3,10.2,21.6,Winter,Thursday,True
2025-01-10,Breakfast,93,False,0.872,203,Plates,9,1.94,24,17.4,0.1,True,7,2,0.675,3,51.4,95.7,Winter,Friday,False
2025-01-10,Breakfast,93,False,0.872,116,Glassware,6,1.99,20,11.9,5.0,False,0,0,0.476,3,31.2,63.1,Winter,Friday,False
2025-01-10,Breakfast,93,False,0.872,257,Cutlery,6,2.29,45,13.7,2.4,True,7,0,0.538,3,42.8,66.7,Winter,Friday,False
2025-01-10,Breakfast,93,False,0.872,8,Cookware,1,2.36,10,2.4,1.7,False,0,0,0.25,3,4.6,8.7,Winter,Friday,False
2025-01-10,Lunch,52,False,0.872,114,Plates,5,1.85,24,9.3,3.0,True,4,0,0.363,3,29.9,53.1,Winter,Friday,False
2025-01-10,Lunch,52,False,0.872,70,Glassware,4,2.33,20,9.3,0.0,True,1,0,0.335,3,20.8,40.9,Winter,Friday,False
2025-01-10,Lunch,52,False,0.872,147,Cutlery,4,1.9,45,7.6,5.2,True,4,0,0.256,3,26.5,37.5,Winter,Friday,False
2025-01-10,Lunch,52,False,0.872,9,Cookware,1,2.29,10,2.3,0.0,True,1,0,0.25,3,4.5,10.2,Winter,Friday,False
2025-01-10,Dinner,107,False,0.872,223,Plates,10,1.78,24,17.8,0.0,True,4,0,0.855,3,54.8,91.7,Winter,Friday,True
2025-01-10,Dinner,107,False,0.872,162,Glassware,9,2.21,20,19.9,12.6,True,2,0,0.929,3,46.6,94.6,Winter,Friday,True
2025-01-10,Dinner,107,False,0.872,300,Cutlery,7,2.01,45,14.1,5.5,True,2,0,0.695,3,51.2,72.5,Winter,Friday,True
2025-01-10,Dinner,107,False,0.872,25,Cookware,3,2.45,10,7.3,2.4,True,2,1,0.318,3,11.8,32.2,Winter,Friday,True
2025-01-11,Breakfast,91,True,0.851,193,Plates,9,2.04,24,18.4,10.4,True,2,1,0.677,4,50.7,89.5,Winter,Saturday,True
2025-01-11,Breakfast,91,True,0.851,132,Glassware,7,1.92,20,13.5,5.0,True,1,0,0.523,4,37.3,70.4,Winter,Saturday,True
2025-01-11,Breakfast,91,True,0.851,260,Cutlery,6,2.14,45,12.8,12.4,True,10,0,0.509,4,43.5,62.7,Winter,Saturday,True
2025-01-11,Breakfast,91,True,0.851,21,Cookware,3,2.53,10,7.6,12.4,True,1,0,0.25,4,12.8,27.8,Winter,Saturday,True
2025-01-11,Lunch,57,True,0.851,129,Plates,6,2.24,24,13.5,10.7,True,1,0,0.496,4,32.7,66.0,Winter,Saturday,True
2025-01-11,Lunch,57,True,0.851,75,Glassware,4,1.95,20,7.8,10.5,True,1,0,0.302,4,23.0,39.9,Winter,Saturday,True
2025-01-11,Lunch,57,True,0.851,166,Cutlery,4,1.98,45,7.9,8.4,True,1,0,0.3,4,27.8,36.7,Winter,Saturday,True
2025-01-11,Lunch,57,True,0.851,19,Cookware,2,2.56,10,5.1,11.8,False,0,0,0.25,4,9.6,21.0,Winter,Saturday,True
2025-01-11,Dinner,123,True,0.851,276,Plates,12,1.97,24,23.6,26.6,True,14,0,1.173,4,68.2,134.1,Winter,Saturday,True
2025-01-11,Dinner,123,True,0.851,175,Glassware,9,1.9,20,17.1,15.7,True,6,0,0.861,4,47.9,92.3,Winter,Saturday,True
2025-01-11,Dinner,123,True,0.851,340,Cutlery,8,1.99,45,15.9,11.9,True,10,1,0.779,4,56.6,84.9,Winter,Saturday,True
2025-01-11,Dinner,123,True,0.851,26,Cookware,3,2.58,10,7.7,11.6,False,0,0,0.348,4,12.7,30.7,Winter,Saturday,True
2025-01-12,Breakfast,107,False,0.922,232,Plates,10,2.26,24,22.6,12.5,True,5,0,0.899,3,57.2,101.7,Winter,Sunday,False
2025-01-12,Breakfast,107,False,0.922,145,Glassware,8,1.84,20,14.8,3.5,True,6,0,0.551,3,41.3,89.4,Winter,Sunday,False
2025-01-12,Breakfast,107,False,0.922,298,Cutlery,7,2.2,45,15.4,5.6,True,5,1,0.6,3,49.9,73.8,Winter,Sunday,False
2025-01-12,Breakfast,107,False,0.922,23,Cookware,3,2.37,10,7.1,3.3,True,2,0,0.25,3,13.1,27.8,Winter,Sunday,False
2025-01-12,Lunch,58,False,0.922,140,Plates,6,2.28,24,13.7,2.3,True,2,0,0.547,3,35.8,54.0,Winter,Sunday,False
2025-01-12,Lunch,58,False,0.922,76,Glassware,4,2.09,20,8.3,0.0,True,1,0,0.326,3,21.0,42.0,Winter,Sunday,False
2025-01-12,Lunch,58,False,0.922,169,Cutlery,4,2.21,45,8.8,0.6,True,1,0,0.342,3,29.0,37.7,Winter,Sunday,False
2025-01-12,Lunch,58,False,0.922,10,Cookware,1,2.44,10,2.4,2.9,False,0,0,0.25,3,4.7,9.7,Winter,Sunday,False
2025-01-12,Dinner,105,False,0.922,227,Plates,10,2.28,24,22.8,14.7,True,6,0,1.117,3,52.7,91.3,Winter,Sunday,True
2025-01-12,Dinner,105,False,0.922,141,Glassware,8,2.16,20,17.3,10.5,True,3,1,0.789,3,44.7,83.5,Winter,Sunday,True
2025-01-12,Dinner,105,False,0.922,297,Cutlery,7,2.1,45,14.7,2.9,True,8,0,0.718,3,52.3,74.6,Winter,Sunday,True
2025-01-12,Dinner,105,False,0.922,16,Cookware,2,2.49,10,5.0,7.7,True,1,0,0.25,3,8.5,17.0,Winter,Sunday,True
2025-01-13,Breakfast,94,False,0.98,198,Plates,9,2.06,24,18.5,5.4,True,5,0,0.699,3,45.6,93.0,Winter,Monday,False
2025-01-13,Breakfast,94,False,0.98,129,Glassware,7,2.25,20,15.7,0.0,True,1,0,0.597,3,40.0,90.3,Winter,Monday,False
2025-01-13,Breakfast,94,False,0.98,257,Cutlery,6,2.06,45,12.4,2.7,True,1,1,0.484,3,43.3,59.0,Winter,Monday,False
2025-01-13,Breakfast,94,False,0.98,15,Cookware,2,2.22,10,4.4,5.2,False,0,0,0.25,3,8.5,18.7,Winter,Monday,False
2025-01-13,Lunch,74,False,0.98,172,Plates,8,2.1,24,16.8,7.8,True,6,0,0.619,3,48.4,85.7,Winter,Monday,False
2025-01-13,Lunch,74,False,0.98,120,Glassware,6,2.29,20,13.7,0.0,True,1,1,0.565,3,32.8,62.1,Winter,Monday,False
2025-01-13,Lunch,74,False,0.98,207,Cutlery,5,2.01,45,10.1,3.3,True,3,0,0.381,3,35.4,49.4,Winter,Monday,False
2025-01-13,Lunch,74,False,0.98,21,Cookware,3,2.46,10,7.4,0.0,True,1,0,0.25,3,14.1,29.2,Winter,Monday,False
2025-01-13,Dinner,98,False,0.98,215,Plates,9,2.25,24,20.3,16.8,True,6,0,1.046,3,48.1,96.3,Winter,Monday,True
2025-01-13,Dinner,98,False,0.98,147,Glassware,8,2.08,20,16.6,5.2,True,3,0,0.792,3,42.2,95.5,Winter,Monday,True
2025-01-13,Dinner,98,False,0.98,280,Cutlery,7,2.27,45,15.9,3.3,True,6,0,0.734,3,51.1,69.5,Winter,Monday,True
2025-01-13,Dinner,98,False,0.98,27,Cookware,3,2.47,10,7.4,3.9,False,0,0,0.346,3,12.6,34.6,Winter,Monday,True
2025-01-14,Breakfast,95,False,0.835,197,Plates,9,2.15,24,19.3,8.9,True,1,0,0.725,3,48.7,77.1,Winter,Tuesday,False
2025-01-14,Breakfast,95,False,0.835,129,Glassware,7,2.22,20,15.5,3.6,True,4,0,0.589,3,38.7,70.1,Winter,Tuesday,False
2025-01-14,Breakfast,95,False,0.835,269,Cutlery,6,2.26,45,13.5,8.7,True,1,1,0.555,3,44.3,54.8,Winter,Tuesday,False
2025-01-14,Breakfast,95,False,0.835,19,Cookware,2,2.58,10,5.2,4.7,False,0,0,0.25,3,8.7,16.5,Winter,Tuesday,False
2025-01-14,Lunch,81,False,0.835,186,Plates,8,2.27,24,18.1,6.7,True,4,1,0.723,3,40.1,83.8,Winter,Tuesday,False
2025-01-14,Lunch,81,False,0.835,104,Glassware,6,2.12,20,12.7,0.0,False,0,0,0.454,3,32.2,48.6,Winter,Tuesday,False
2025-01-14,Lunch,81,False,0.835,226,Cutlery,6,1.92,45,11.5,0.4,True,3,0,0.398,3,39.7,58.2,Winter,Tuesday,False
2025-01-14,Lunch,81,False,0.835,26,Cookware,3,2.29,10,6.9,7.7,True,1,0,0.25,3,14.3,31.5,Winter,Tuesday,False
2025-01-14,Dinner,95,False,0.835,214,Plates,9,1.88,24,16.9,5.3,True,1,1,0.871,3,51.8,90.8,Winter,Tuesday,True
2025-01-14,Dinner,95,False,0.835,136,Glassware,7,2.09,20,14.6,6.2,True,2,0,0.737,3,37.4,71.3,Winter,Tuesday,True
2025-01-14,Dinner,95,False,0.835,270,Cutlery,6,1.94,45,11.6,2.3,True,6,1,0.603,3,43.2,60.5,Winter,Tuesday,True
2025-01-14,Dinner,95,False,0.835,5,Cookware,1,2.43,10,2.4,7.6,False,0,0,0.25,3,4.0,11.2,Winter,Tuesday,True
2025-01-15,Breakfast,77,False,0.91,174,Plates,8,2.13,24,17.0,5.7,True,5,0,0.635,3,44.9,89.4,Winter,Wednesday,False
2025-01-15,Breakfast,77,False,0.91,96,Glassware,5,2.05,20,10.2,3.7,True,3,0,0.404,3,27.1,59.9,Winter,Wednesday,False
2025-01-15,Breakfast,77,False,0.91,220,Cutlery,5,1.81,45,9.1,1.0,True,3,2,0.365,3,36.7,57.0,Winter,Wednesday,False
2025-01-15,Breakfast,77,False,0.91,19,Cookware,2,2.36,10,4.7,5.5,False,0,0,0.25,3,8.9,22.7,Winter,Wednesday,False
2025-01-15,Lunch,55,False,0.91,122,Plates,6,2.37,24,14.2,3.7,True,2,0,0.496,3,33.7,62.4,Winter,Wednesday,False
2025-01-15,Lunch,55,False,0.91,71,Glassware,4,1.95,20,7.8,1.8,True,2,0,0.285,3,21.4,37.2,Winter,Wednesday,False
2025-01-15,Lunch,55,False,0.91,155,Cutlery,4,2.26,45,9.0,4.5,True,6,0,0.321,3,28.6,35.1,Winter,Wednesday,False
2025-01-15,Lunch,55,False,0.91,22,Cookware,3,2.6,10,7.8,2.4,True,1,0,0.25,3,13.0,32.0,Winter,Wednesday,False
2025-01-15,Dinner,121,False,0.91,275,Plates,12,1.83,24,22.0,18.9,True,6,0,1.088,3,65.6,130.0,Winter,Wednesday,True
2025-01-15,Dinner,121,False,0.91,170,Glassware,9,1.88,20,16.9,3.1,True,5,0,0.828,3,47.6,107.8,Winter,Wednesday,True
2025-01-15,Dinner,121,False,0.91,345,Cutlery,8,2.1,45,16.8,9.2,True,6,0,0.835,3,56.8,77.2,Winter,Wednesday,True
2025-01-15,Dinner,121,False,0.91,22,Cookware,3,2.53,10,7.6,7.8,False,0,0,0.289,3,13.1,29.0,Winter,Wednesday,True
2025-01-16,Breakfast,83,False,0.756,182,Plates,8,2.24,24,17.9,0.0,True,2,0,0.7,3,46.3,58.3,Winter,Thursday,False
2025-01-16,Breakfast,83,False,0.756,112,Glassware,6,2.1,20,12.6,0.0,False,0,0,0.485,3,33.9,58.7,Winter,Thursday,False
2025-01-16,Breakfast,83,False,0.756,229,Cutlery,6,1.84,45,11.0,0.4,True,5,0,0.385,3,42.6,74.3,Winter,Thursday,False
2025-01-16,Breakfast,83,False,0.756,23,Cookware,3,2.5,10,7.5,1.1,True,1,0,0.25,3,12.0,29.6,Winter,Thursday,False
